t,pos,reward,action,layer_outputs
34,4.448514160545842,-4.448514160545842,0,"[-0.05749519541859627, -0.05309620127081871, -0.05287889391183853, -0.05750448629260063, -0.055497411638498306, -0.05346914380788803]"
35,4.418300818430501,-4.418300818430501,0,"[-0.061211250722408295, -0.0643569603562355, -0.06382948160171509, -0.06117335334420204, -0.06409912556409836, -0.06524138152599335]"
36,4.438412464142569,-4.438412464142569,0,"[-0.06713493913412094, -0.0648089051246643, -0.06415636092424393, -0.06711490452289581, -0.06721653044223785, -0.06591268628835678]"
37,4.4428476360232585,-4.4428476360232585,0,"[-0.02570217289030552, -0.027554405853152275, -0.028792183846235275, -0.025751478970050812, -0.024091720581054688, -0.02545466274023056]"
38,4.418294174688944,-4.418294174688944,0,"[-0.06710916757583618, -0.06585285067558289, -0.06514957547187805, -0.06708230823278427, -0.06790228933095932, -0.06704264879226685]"
39,4.407805757035232,-4.407805757035232,0,"[-0.06051670014858246, -0.06131446734070778, -0.060972534120082855, -0.06049719080328941, -0.06169085204601288, -0.06188865005970001]"
40,4.4094362833076,-4.4094362833076,0,"[-0.055420976132154465, -0.054825443774461746, -0.054697148501873016, -0.05541779845952988, -0.055361371487379074, -0.055043503642082214]"
41,4.402609312843909,-4.402609312843909,0,"[-0.04936608672142029, -0.04978657513856888, -0.04993344843387604, -0.049370817840099335, -0.0492878332734108, -0.04953759163618088]"
42,4.402126437707659,-4.402126437707659,0,"[-0.060682255774736404, -0.06037318706512451, -0.0600384958088398, -0.06066862866282463, -0.06122208759188652, -0.060938529670238495]"
43,4.362381066585627,-4.362381066585627,0,"[-0.04777129366993904, -0.04798351228237152, -0.048198215663433075, -0.04777992516756058, -0.0474320650100708, -0.0476202666759491]"
44,4.370208825457911,-4.370208825457911,0,"[-0.09033676236867905, -0.09006554633378983, -0.08865019679069519, -0.09027336537837982, -0.09318336844444275, -0.09244485199451447]"
45,4.386539107315859,-4.386539107315859,0,"[-0.021628202870488167, -0.021851252764463425, -0.023137349635362625, -0.021685684099793434, -0.019011376425623894, -0.019678371027112007]"
46,4.386696125115406,-4.386696125115406,0,"[-0.05861962214112282, -0.05854295939207077, -0.058304477483034134, -0.058609507977962494, -0.05908265709877014, -0.0589442178606987]"
47,4.377140343685535,-4.377140343685535,0,"[-0.04933638870716095, -0.049388837069272995, -0.04955475032329559, -0.04934412240982056, -0.049013808369636536, -0.049109745770692825]"
48,4.373521467877115,-4.373521467877115,0,"[-0.0648697093129158, -0.06479952484369278, -0.06436445564031601, -0.06484977155923843, -0.06575372815132141, -0.06553153693675995]"
49,4.357064753852443,-4.357064753852443,0,"[-0.04945084825158119, -0.04948308318853378, -0.04964209347963333, -0.049458157271146774, -0.04913265258073807, -0.04921652376651764]"
50,4.333943935888746,-4.333943935888746,0,"[-0.07240420579910278, -0.07232175022363663, -0.07166687399148941, -0.07237481325864792, -0.07374937832355499, -0.07342579960823059]"
51,4.3043924773157896,-4.3043924773157896,0,"[-0.06624113023281097, -0.06620262563228607, -0.06580252200365067, -0.0662229135632515, -0.06707198917865753, -0.06687692552804947]"
52,4.293147489104968,-4.293147489104968,0,"[-0.07822979241609573, -0.07814039289951324, -0.07736723870038986, -0.07819515466690063, -0.07982128858566284, -0.07944284379482269]"
53,4.292969378796698,-4.292969378796698,0,"[-0.05419575050473213, -0.05420128256082535, -0.05424042046070099, -0.054197028279304504, -0.054118335247039795, -0.05413747951388359]"
54,4.264299537342378,-4.264299537342378,0,"[-0.05619615316390991, -0.05619276687502861, -0.056164391338825226, -0.05619530752301216, -0.056252043694257736, -0.056238919496536255]"
55,4.2882835267885016,-4.2882835267885016,0,"[-0.08621442317962646, -0.08610931038856506, -0.08516483753919601, -0.08617135137319565, -0.08816216886043549, -0.08770021051168442]"
56,4.258759938199161,-4.258759938199161,0,"[-0.009784909896552563, -0.009954587556421757, -0.011472523212432861, -0.009854095056653023, -0.0066331494599580765, -0.007382581941783428]"
57,4.254611837347056,-4.254611837347056,0,"[-0.11056742817163467, -0.11038536578416824, -0.10875572264194489, -0.11049333959817886, -0.11391837894916534, -0.11312520503997803]"
58,4.244562178466606,-4.244562178466606,0,"[-0.03214743733406067, -0.03223087638616562, -0.03297049179673195, -0.032181352376937866, -0.03062594123184681, -0.0309857539832592]"
59,4.244109707843091,-4.244109707843091,0,"[-0.0801176056265831, -0.08003903180360794, -0.07934161275625229, -0.08008553832769394, -0.08155188709497452, -0.08121296763420105]"
60,4.276008855028465,-4.276008855028465,0,"[-0.045032307505607605, -0.0450718030333519, -0.045418862253427505, -0.045048367232084274, -0.04431907460093498, -0.044487714767456055]"
